genes,name,ExonLength,chr,chr_start,chr_end,WT_1_log2(cpm),WT_2_log2(cpm),DKO_1_log2(cpm),DKO_2_log2(cpm),logFC_1*WT -1*DKO,logCPM_1*WT -1*DKO,LR_1*WT -1*DKO,PValue_1*WT -1*DKO,FDR_1*WT -1*DKO
Dgki,"diacylglycerol kinase, iota",6242,6,36846021,37300184,2.791,2.882,-1.276,-1.116,4.124,1.935,176.596,2.68333224578307e-40,1.61399934584865e-38
Cd5l,CD5 antigen-like,2037,3,87357880,87371074,8.828,9.169,5.868,6.243,2.941,8.185,176.23,3.22601439941078e-40,1.92843971875889e-38
Sulf2,sulfatase 2,5818,2,166073088,166155663,3.023,2.914,-0.772,-1.6,4.196,2.062,175.662,4.29169228076361e-40,2.5497391439825e-38
Tsku,"tsukushi, small leucine rich proteoglycan",2859,7,98350667,98361328,2.791,2.815,-1.401,-1.017,4.09,1.903,173.199,1.48067554894219e-39,8.74320854631473e-38
Lrp5,low density lipoprotein receptor-related protein 5,9738,19,3584827,3686564,4.816,4.812,0.427,1.322,3.888,3.912,171.659,3.21177572532904e-39,1.88502037115676e-37
Serpinb9b,"serine (or cysteine) peptidase inhibitor, clade B, member 9b",3253,13,33027415,33041884,2.679,2.657,-1.862,-1.223,4.288,1.76,170.556,5.59304537680116e-39,3.26283442343027e-37
Slc22a23,"solute carrier family 22, member 23",6386,13,34179157,34345182,4.259,4.137,0.095,0.882,3.68,3.314,169.632,8.90410656070285e-39,5.1633154451405e-37
Nos1,"nitric oxide synthase 1, neuronal",11151,5,117781031,117958840,2.82,2.619,-1.276,-1.752,4.34,1.811,168.882,1.29845765340491e-38,7.48468090212689e-37
Cd14,CD14 antigen,1572,18,36725073,36726736,5.779,6.418,1.445,1.957,4.421,5.201,168.212,1.81826100320213e-38,1.04189583165736e-36
Gsta4,"glutathione S-transferase, alpha 4",957,9,78191965,78209348,2.359,2.731,-2.055,-2.917,5.232,1.618,167.772,2.26874593710714e-38,1.29238445029091e-36
Hap1,huntingtin-associated protein 1,3766,11,100347326,100356128,4.149,4.104,-0.001,0.83,3.677,3.242,166.579,4.13332866438978e-38,2.34076928572811e-36
B3galnt1,"UDP-GalNAc:betaGlcNAc beta 1,3-galactosaminyltransferase, polypeptide 1",1901,3,69574185,69598861,3.3,3.006,-0.538,-1.017,3.991,2.262,164.563,1.13963774308675e-37,6.41642552561166e-36
Gm13710,,965,2,84500759,84531322,2.909,2.767,-2.278,-0.924,4.389,1.923,164.154,1.39974571576796e-37,7.83533960202134e-36
Arsg,arylsulfatase G,3906,11,109473373,109573330,3.672,3.815,0.696,0.66,3.091,2.914,164.052,1.4734313216383e-37,8.20040742456624e-36
Adrb1,"adrenergic receptor, beta 1",2491,19,56722371,56724862,3.233,3.832,-1.539,-0.924,4.855,2.624,163.077,2.40646232157312e-37,1.33166749269224e-35
Cnksr3,Cnksr family member 3,3837,10,7119062,7212237,4.129,4.131,0.726,1.224,3.15,3.291,162.995,2.50741211638533e-37,1.37964653040202e-35
Dock5,dedicator of cytokinesis 5,10335,14,67751927,67933572,2.928,3.242,-1.053,-0.676,4.017,2.195,162.686,2.92907970386603e-37,1.60255411594568e-35
Nptxr,neuronal pentraxin receptor,5169,15,79786351,79804766,3.714,3.534,-0.104,0.433,3.468,2.761,162.285,3.58361999518639e-37,1.94965033895421e-35
Tlr8,toll-like receptor 8,3586,X,167242695,167264329,4.742,4.976,0.949,1.659,3.529,3.988,161.089,6.54161043321803e-37,3.53904778968064e-35
Camk1,calcium/calmodulin-dependent protein kinase I,6067,6,113334123,113343984,3.998,3.894,1.096,1.029,2.903,3.136,161.009,6.81000242096135e-37,3.66378130247721e-35
Aph1c,"aph1 homolog C, gamma secretase subunit",5205,9,66814993,66834726,2.755,2.687,-1.862,-0.924,4.134,1.82,160.624,8.26682691404207e-37,4.3986786722848e-35
Ptafr,platelet-activating factor receptor,3637,4,132564066,132582683,3.467,3.297,0.048,-0.676,3.707,2.502,160.631,8.2358013865385e-37,4.3986786722848e-35
Ppm1h,protein phosphatase 1H (PP2C domain containing),10226,10,122678761,122945795,4.768,4.808,2.342,2.214,2.517,4.024,160.302,9.72150633198649e-37,5.14442990813973e-35
Tyrobp,TYRO protein tyrosine kinase binding protein,564,7,30413787,30417577,8.182,8.167,5.339,5.803,2.585,7.397,160.111,1.07004643826589e-36,5.63170092835157e-35
Unc5a,unc-5 homolog A (C. elegans),4168,13,54949410,55006018,3.733,3.496,-0.4,0.285,3.672,2.737,159.969,1.14912914961191e-36,6.01522523504958e-35
Clec4a2,"C-type lectin domain family 4, member a2",2860,6,123106427,123143999,5.628,5.281,0.814,1.674,4.171,4.545,158.358,2.58477396422153e-36,1.34575005750115e-34
Enpp4,ectonucleotide pyrophosphatase/phosphodiesterase 4,4560,17,44096307,44105809,4.308,4.749,1.186,1.341,3.295,3.691,156.637,6.14442361713289e-36,3.18195712878689e-34
Erbb2,erb-b2 receptor tyrosine kinase 2,5210,11,98412469,98437716,3.571,3.534,-1.539,-0.117,4.267,2.636,156.573,6.34495832246695e-36,3.2683285316367e-34
Sall2,sal-like 2 (Drosophila),5433,14,52311171,52328762,2.973,2.933,-0.69,-0.401,3.546,2.087,156.432,6.81102017809079e-36,3.48983700553604e-34
Tnfrsf1a,"tumor necrosis factor receptor superfamily, member 1a",2591,6,125349361,125362484,5.546,5.664,1.842,2.566,3.364,4.742,155.051,1.36452512704309e-35,6.95476912120278e-34
Pla2g15,"phospholipase A2, group XV",2704,8,106150398,106164713,7.952,7.998,5.389,5.795,2.369,7.231,154.2,2.09448658961381e-35,1.06193759862933e-33
Paqr9,progestin and adipoQ receptor family member IX,8367,9,95559656,95568023,6.056,6.468,1.65,2.423,4.197,5.355,154.061,2.24557135408179e-35,1.132610051715e-33
Tmem26,transmembrane protein 26,5052,10,68723745,68782654,6.458,6.727,4.48,4.308,2.205,5.884,151.514,8.09317437954879e-35,4.06084459541712e-33
Mrap,melanocortin 2 receptor accessory protein,1464,16,90738323,90749785,2.616,2.875,-1.276,-3.908,5.018,1.815,151.464,8.29927358636449e-35,4.14279203146153e-33
Nuak1,"NUAK family, SNF1-like kinase, 1",5625,10,84370904,84440597,3.687,3.44,0.311,0.467,3.206,2.727,151.395,8.59292268287226e-35,4.26737760312487e-33
Cebpa,"CCAAT/enhancer binding protein (C/EBP), alpha",2634,7,35119292,35121926,3.201,3.164,0.048,-0.018,3.206,2.344,151.336,8.84906543645149e-35,4.37216069829572e-33
Stk39,serine/threonine kinase 39,4955,2,68210444,68472268,3.844,3.852,0.048,0.803,3.397,2.987,150.325,1.47198300277029e-34,7.23587989788199e-33
Gm4980,,3022,7,99624081,99627103,2.703,2.53,-1.16,-3.329,4.667,1.695,149.711,2.00515320203525e-34,9.80702202449968e-33
Ms4a7,"membrane-spanning 4-domains, subfamily A, member 7",4453,19,11321038,11336146,5.082,4.948,2.332,2.637,2.529,4.25,149.107,2.71776134437321e-34,1.32255280698041e-32
Hbb-bt,"hemoglobin, beta adult t chain",703,7,103812523,103813996,5.592,5.116,0.756,1.55,4.181,4.453,148.547,3.6028405039904e-34,1.74449537203215e-32
Adam22,a disintegrin and metallopeptidase domain 22,12231,5,8072351,8368160,3.6,3.501,-0.052,0.567,3.288,2.701,147.447,6.2678092955337e-34,3.01977438895265e-32
Mertk,c-mer proto-oncogene tyrosine kinase,4336,2,128698955,128802894,6.975,7.083,2.332,3.209,4.199,6.107,146.985,7.90788960379956e-34,3.79108925362351e-32
Tmem37,transmembrane protein 37,1311,1,120067376,120074074,3.791,3.306,-1.16,-0.281,4.282,2.651,146.918,8.17804979731637e-34,3.90129232695624e-32
Soga1,"suppressor of glucose, autophagy associated 1",7984,2,157015798,157079254,3.179,3.131,-0.001,0.075,3.155,2.322,146.801,8.67263540172256e-34,4.11695104070006e-32
Tnfrsf11a,"tumor necrosis factor receptor superfamily, member 11a, NFKB activator",5985,1,105780717,105847981,3.047,2.939,-2.278,-0.602,4.286,2.081,146.506,1.00603793097242e-33,4.75242503587167e-32
Hpgds,hematopoietic prostaglandin D synthase,3586,6,65117292,65144908,4.922,4.784,2.517,2.414,2.395,4.109,146.101,1.23359931996948e-33,5.79911447309927e-32
Igsf6,"immunoglobulin superfamily, member 6",2133,7,121064066,121074530,3.644,3.92,-0.538,0.397,3.819,2.896,145.586,1.59903257700794e-33,7.48069153417626e-32
Tagap1,T cell activation GTPase activating protein 1,2358,17,6954964,6961156,1.827,1.702,4.299,4.31,-2.55,3.538,145.383,1.7714172952779e-33,8.24731013820729e-32
Slc12a2,"solute carrier family 12, member 2",6520,18,57878677,57946821,6.65,6.673,4.899,4.883,1.772,6.033,144.881,2.27966315061146e-33,1.05628028471394e-31
Pid1,phosphotyrosine interaction domain containing 1,7024,1,84036295,84364180,4.089,4.056,-0.538,0.598,3.963,3.169,144.772,2.40829137261551e-33,1.11056636440041e-31
Clec4b1,"C-type lectin domain family 4, member b1",784,6,123049961,123071555,3.791,3.344,-1.539,-0.339,4.468,2.658,144.734,2.4552730798088e-33,1.12686561634448e-31
Aatk,apoptosis-associated tyrosine kinase,7159,11,120007312,120047167,3.43,3.059,-1.053,-0.281,3.928,2.36,144.434,2.85622804933756e-33,1.30470341649929e-31
Gm4841,predicted gene 4841,2838,18,60268300,60273267,-2.279,-1.589,2.39,2.894,-4.713,1.742,142.982,5.93249125037079e-33,2.69719461354886e-31
Galc,galactosylceramidase,3822,12,98202303,98259459,4.714,4.81,2.312,2.458,2.382,4.02,142.297,8.37452200313348e-33,3.78966687281984e-31
Tmem86a,transmembrane protein 86A,1791,7,47050639,47054776,5.817,5.528,1.936,2.629,3.362,4.816,141.644,1.16322941922756e-32,5.23940171897658e-31
Dock7,dedicator of cytokinesis 7,8115,4,98936664,99120915,2.806,3,-0.612,-0.339,3.428,2.051,140.748,1.82619317390755e-32,8.18743272968554e-31
Ctsf,cathepsin F,1975,19,4855128,4860912,3.345,3.538,0.389,0.534,3.008,2.625,140.478,2.09298684416435e-32,9.34031548335831e-31
Hpgd,hydroxyprostaglandin dehydrogenase 15 (NAD),1719,8,56294551,56321046,7.598,7.653,2.719,3.629,4.385,6.694,140.427,2.1469779815739e-32,9.53730952915674e-31
Apobr,apolipoprotein B receptor,3779,7,126584941,126589112,4.556,4.595,-1.401,0.204,5.008,3.625,139.478,3.46243656580145e-32,1.53106099101467e-30
Clec4a1,"C-type lectin domain family 4, member a1",1558,6,122921847,122934619,6.098,6.182,1.87,2.732,3.782,5.244,139.395,3.60932660514279e-32,1.58875994746376e-30
Axl,AXL receptor tyrosine kinase,5033,7,25757272,25788705,9.866,9.859,4.78,5.679,4.565,8.922,139.047,4.30149209624264e-32,1.88487101629021e-30
Wdfy1,WD repeat and FYVE domain containing 1,6488,1,79702261,79776143,2.498,2.724,4.907,4.944,-2.316,4.194,139.017,4.36698802943291e-32,1.90495099446073e-30
Trim47,tripartite motif-containing 47,2735,11,116105751,116127210,2.799,2.702,-0.538,-0.602,3.379,1.901,138.593,5.40651993042495e-32,2.34783582987602e-30
Cd244,CD244 natural killer cell receptor 2B4,3760,1,171559192,171585318,4.355,3.801,-0.001,0.534,3.843,3.208,138.158,6.72937225916497e-32,2.90925182847114e-30
6430548M08Rik,RIKEN cDNA 6430548M08 gene,6626,8,120114151,120165306,2.725,2.907,-0.772,-0.401,3.45,1.963,137.583,8.99109638754639e-32,3.86976788519997e-30
Dlg2,"discs, large homolog 2 (Drosophila)",10345,7,91090705,92447003,2.777,2.513,-1.16,-0.836,3.717,1.775,136.971,1.22344506206155e-31,5.24240795619649e-30
Alas2,"aminolevulinic acid synthase 2, erythroid",2403,X,150547374,150570638,2.733,2.373,-1.539,-1.223,4.04,1.668,136.788,1.34155564399509e-31,5.72318275614469e-30
Large,like-glycosyltransferase,7883,8,72814598,73353540,3.212,3.047,0.141,-0.401,3.282,2.286,135.649,2.38138511478219e-31,1.01146199348907e-29
Anxa3,annexin A3,1597,5,96793384,96845968,3.118,3.024,-0.612,0.075,3.339,2.221,135.137,3.08140687530393e-31,1.30307179827263e-29
Lpcat2,lysophosphatidylcholine acyltransferase 2,3377,8,92855349,92919279,5.905,5.964,2.981,3.546,2.647,5.151,135.12,3.10801727344194e-31,1.30861040330486e-29
Abcg3,"ATP-binding cassette, sub-family G (WHITE), member 3",3550,5,104935056,104982718,7.749,7.693,4.875,5.409,2.555,6.949,135.054,3.21270595055173e-31,1.34683309199753e-29
Gm9825,,1602,6,7981828,7983430,-4.889,-4.889,5.276,4.135,-12.704,3.82,134.823,3.60998228786866e-31,1.50685639981552e-29
Siglech,sialic acid binding Ig-like lectin H,3383,7,55768177,55778925,3.32,3.668,0.351,0.433,3.141,2.67,133.176,8.27338863466855e-31,3.43860495871804e-29
Igkv17-127,,341,6,67861158,67861659,5.637,6.142,8.399,8.578,-2.58,7.714,133.148,8.39292340853523e-31,3.47337907214766e-29
Snx24,sorting nexing 24,1880,18,53245661,53390823,2.791,2.471,-1.539,-0.836,3.869,1.754,132.485,1.1718895478487e-30,4.82918228994334e-29
Hcar2,hydroxycarboxylic acid receptor 2,1947,5,123863569,123865516,6.201,6.016,0.785,1.882,4.689,5.168,132.054,1.45593743363996e-30,5.97427885905481e-29
Parvb,"parvin, beta",4416,15,84232042,84315688,3.265,3.035,-0.001,0.163,3.106,2.325,131.794,1.66008680455783e-30,6.7832407659654e-29
Raver2,"ribonucleoprotein, PTB-binding 2",6342,4,101068982,101152370,2.656,3.012,-0.772,-0.602,3.593,1.977,131.777,1.67425454293125e-30,6.81238697216226e-29
Myo9a,myosin IXa,13034,9,59750895,59928866,6.052,6.282,3.849,4.138,2.173,5.462,131.282,2.14826386280841e-30,8.70451349265133e-29
Trpm2,"transient receptor potential cation channel, subfamily M, member 2",12323,10,77907721,77970563,6.231,6.214,1.534,2.509,4.128,5.304,130.876,2.63583198912446e-30,1.06355820761172e-28
Slc9a9,"solute carrier family 9 (sodium/hydrogen exchanger), member 9",5679,9,94669908,95230445,6.186,6.314,3.342,3.894,2.609,5.472,130.781,2.76488479357876e-30,1.11100183987621e-28
Pdlim4,PDZ and LIM domain 4,2560,11,54054927,54069014,2.806,2.354,-1.401,-1.338,4.073,1.699,130.731,2.83479489025783e-30,1.13438651724202e-28
Cttnbp2nl,CTTNBP2 N-terminal like,5000,3,105001914,105053146,3.265,3.567,-0.4,0.323,3.452,2.561,130.682,2.90590982966305e-30,1.15805888026572e-28
Cd300a,CD300A antigen,4738,11,114890040,114904654,7.193,7.23,2.164,3.146,4.48,6.276,130.231,3.64824070168007e-30,1.44793290799466e-28
Dse,dermatan sulfate epimerase,4224,10,34151393,34207551,6.1,6.027,4.178,3.878,2.03,5.381,128.633,8.16012139869041e-30,3.22541288264971e-28
Arhgap32,Rho GTPase activating protein 32,17179,9,32116135,32268446,2.915,3.087,-0.274,-1.6,3.875,2.115,128.214,1.00749932072704e-29,3.96610708208157e-28
Fcna,ficolin A,1374,2,25624665,25628030,8.766,8.951,3.63,4.564,4.692,7.916,128.201,1.01438211898554e-29,3.97703499605504e-28
Plxnb2,plexin B2,7119,15,89155548,89171120,7.385,7.53,5.762,5.606,1.774,6.83,127.919,1.16926063466966e-29,4.56577418796006e-28
Cln8,"ceroid-lipofuscinosis, neuronal 8",7606,8,14881334,14901720,6.293,6.069,3.821,4.151,2.191,5.472,127.67,1.32536373670164e-29,5.15454715912396e-28
Pigz,"phosphatidylinositol glycan anchor biosynthesis, class Z",2541,16,31933850,31946046,2.608,2.808,-1.053,-0.401,3.46,1.855,126.864,1.9893525053464e-29,7.70595586470982e-28
Lipa,lysosomal acid lipase A,2969,19,34492317,34527474,8.567,8.481,6.525,6.765,1.875,7.872,126.128,2.88247498841044e-29,1.11210708317796e-27
Galnt3,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3,4374,2,66082765,66124994,5.673,5.624,0.27,1.484,4.665,4.707,125.621,3.72195922153599e-29,1.43029575799026e-27
Ifi204,interferon activated gene 204,2253,1,173747292,173766876,4.419,4.52,0.785,1.598,3.235,3.621,125.062,4.93342176582643e-29,1.88835005455586e-27
Sgk1,serum/glucocorticoid regulated kinase 1,4903,10,21882183,21999903,4.981,5.466,2.618,2.396,2.74,4.449,124.813,5.5937601246024e-29,2.13267610419881e-27
Scn1b,"sodium channel, voltage-gated, type I, beta",1801,7,31116523,31126945,3.36,3.232,0.141,0.598,2.935,2.485,124.801,5.62656682743803e-29,2.13677149634941e-27
C6,complement component 6,4036,15,4727174,4815456,7.155,7.435,3.09,3.888,3.761,6.405,123.264,1.22101248946382e-28,4.61886130779986e-27
Gfra2,glial cell line derived neurotrophic factor family receptor alpha 2,3462,14,70890129,70979838,6.627,6.717,1.742,2.747,4.349,5.743,122.879,1.48221217812414e-28,5.58511390387322e-27
Npl,N-acetylneuraminate pyruvate lyase,1735,1,153503014,153550045,2.648,2.702,-0.336,-1.338,3.502,1.816,122.721,1.60535550494005e-28,6.02568322086799e-27
Ggt5,gamma-glutamyltransferase 5,4736,10,75589339,75617200,3.005,2.988,0.27,-0.018,2.899,2.192,122.549,1.7506815244841e-28,6.54579146065794e-27
Matn2,matrilin 2,3583,15,34306679,34436242,2.733,2.815,-0.772,-0.117,3.228,1.938,122.066,2.23334147841738e-28,8.31833802961305e-27
Lst1,leukocyte specific transcript 1,415,17,35185094,35188439,5.867,5.878,2.757,3.414,2.753,5.074,120.762,4.30753426972715e-28,1.59824374973324e-26
Myof,myoferlin,7109,19,37899035,38043577,5,4.951,2.975,2.981,2.002,4.3,120.548,4.79819747227966e-28,1.77350169166245e-26
Idh1,"isocitrate dehydrogenase 1 (NADP+), soluble",2771,1,65158615,65186500,6.007,6.073,3.622,4.057,2.186,5.328,120.408,5.15030784287193e-28,1.89640992967193e-26
C1qa,"complement component 1, q subcomponent, alpha polypeptide",1040,4,136895916,136898803,9.794,9.732,5.261,6.125,4.007,8.85,120.265,5.53609511042316e-28,2.03074034277795e-26
Gzma,granzyme A,878,13,113093824,113100979,3.407,2.829,-2.278,-0.836,4.63,2.216,119.98,6.38943923134655e-28,2.33491809495698e-26
Hnrnpll,heterogeneous nuclear ribonucleoprotein L-like,11677,17,80029486,80062334,2.592,2.335,-1.16,-0.754,3.484,1.613,119.787,7.04149923148404e-28,2.56352926908614e-26
Epb4.1l1,,11528,2,156420908,156543214,3.345,3.164,0.27,0.598,2.838,2.457,119.616,7.67769967170319e-28,2.78467579104021e-26
Dgat2,diacylglycerol O-acyltransferase 2,2251,7,99153662,99182713,3.275,2.794,-0.336,-0.401,3.473,2.192,119.297,9.01779967844185e-28,3.25852134649369e-26
Igsf8,"immunoglobulin superfamily, member 8",5217,1,172261640,172319841,6.494,6.341,4.63,4.711,1.75,5.796,119.237,9.29290792364971e-28,3.3454468525139e-26
Plxna1,plexin A1,9025,6,89316315,89362613,4.862,4.867,2.697,2.875,2.08,4.174,118.251,1.52797633454161e-27,5.48034178655591e-26
Acot1,acyl-CoA thioesterase 1,1559,12,84009501,84017670,3.035,2.595,-0.953,-0.465,3.58,1.963,117.527,2.20065373993324e-27,7.86388591052159e-26
Hba-a2,"hemoglobin alpha, adult chain 2",667,11,32296488,32297298,4.946,4.294,0.186,0.933,4.073,3.744,116.385,3.91433355564652e-27,1.39361787326768e-25
Cxcl9,chemokine (C-X-C motif) ligand 9,2905,5,92321330,92328079,4.318,4.456,1.351,1.932,2.727,3.597,115.13,7.36967010468455e-27,2.61420825251887e-25
Ctnnd1,"catenin (cadherin associated protein), delta 1",7319,2,84600070,84650765,3.259,3.227,0.229,0.719,2.771,2.452,114.058,1.26539820555041e-26,4.47230519071175e-25
Hba-a1,"hemoglobin alpha, adult chain 1",812,11,32283510,32284465,5.664,5.095,1.048,1.829,3.929,4.502,113.522,1.65810401500493e-26,5.83893792047556e-25
Smox,spermine oxidase,3894,2,131491495,131525922,3.217,3.409,0.726,0.719,2.616,2.546,112.997,2.16144269104222e-26,7.58384457248291e-25
Gab2,growth factor receptor bound protein 2-associated protein 2,5997,7,97081750,97308940,3.844,3.862,1.568,1.629,2.265,3.133,111.431,4.76190403523267e-26,1.66477540350878e-24
Ftl1,ferritin light polypeptide 1,1340,7,45457943,45459884,10.676,10.633,9.049,9.019,1.621,10.061,110.997,5.92683852030101e-26,2.06458648311493e-24
Rab32,"RAB32, member RAS oncogene family",2108,10,10545010,10558233,5.205,4.918,2.897,2.993,2.127,4.369,110.63,7.13251976997284e-26,2.47567460402928e-24
Fads1,fatty acid desaturase 1,3456,19,10182887,10196870,4.766,4.724,2.786,2.754,1.98,4.075,110.187,8.91800654639922e-26,3.08435626411893e-24
Pald1,"phosphatase domain containing, paladin 1",4274,10,61319656,61383523,3.157,3.059,0.186,0.598,2.727,2.324,109.743,1.11551746167704e-25,3.84436693910336e-24
Cmtm4,CKLF-like MARVEL transmembrane domain containing 4,7734,8,104348190,104395807,4.089,4.203,2,1.802,2.253,3.428,109.584,1.20873500294081e-25,4.15084743563079e-24
Adap2,ArfGAP with dual PH domains 2,1785,11,80154104,80178958,2.82,2.538,-0.953,-0.224,3.279,1.844,108.982,1.63762190936119e-25,5.60379172093773e-24
Slc40a1,"solute carrier family 40 (iron-regulated transporter), member 1",6761,1,45908067,45926523,10.85,10.826,4.995,6.09,5.195,9.877,107.45,3.54759818614861e-25,1.20968101530504e-23
Igkv5-45,,347,6,69775749,69776306,2.616,3.169,5.967,6.572,-3.387,5.435,106.816,4.88587612186699e-25,1.66016927593544e-23
Fzd7,frizzled class receptor 7,4532,1,59482423,59486955,3.672,2.982,-0.274,-0.17,3.634,2.489,106.548,5.59182614395821e-25,1.89340015308011e-23
Hfe,hemochromatosis,3572,13,23702033,23710854,6.574,6.604,1.883,2.907,4.111,5.672,106.524,5.65917500052848e-25,1.90952789913302e-23
Il11ra1,"interleukin 11 receptor, alpha chain 1",4471,4,41699988,41769474,3.065,3.247,0.665,0.285,2.7,2.378,106.443,5.89526134647997e-25,1.98228162775389e-23
Ccl6,chemokine (C-C motif) ligand 6,1795,11,83587881,83593087,3.592,3.599,-0.159,0.83,3.2,2.754,105.515,9.41793025263918e-25,3.15582133448297e-23
Fcgrt,"Fc receptor, IgG, alpha chain transporter",1738,7,45092992,45103822,7.279,7.253,4.351,4.991,2.561,6.493,105.47,9.63584422655778e-25,3.21770743068916e-23
Ighv14-3,,400,12,114059843,114060321,4.735,4.803,6.543,6.331,-1.672,5.836,103.782,2.258824716947e-24,7.51699606835558e-23
Osgin1,oxidative stress induced growth inhibitor 1,2674,8,119434123,119446256,2.961,2.822,0.141,0.397,2.646,2.121,102.154,5.13680379043614e-24,1.7035893118693e-22
Tfec,transcription factor EC,1779,6,16833380,16898441,3.129,2.752,-1.691,-0.281,3.834,2.065,101.83,6.04841649524813e-24,1.99907390238849e-22
Spic,Spi-C transcription factor (Spi-1/PU.1 related),3841,10,88674771,88685015,7.197,7.052,3.159,4.02,3.476,6.251,101.811,6.10775451848476e-24,2.01181954955804e-22
