genes,name,ExonLength,chr,chr_start,chr_end,WT_FoB_1_log2(cpm),WT_FoB_2_log2(cpm),DKO_FoB_1_log2(cpm),DKO_FoB_2_log2(cpm),DKO_FoB_3_log2(cpm),DKO_ABC_1_log2(cpm),DKO_ABC_2_log2(cpm),DKO_ABC_3_log2(cpm),logFC_1*WT_FoB -1*DKO_FoB,logCPM_1*WT_FoB -1*DKO_FoB,LR_1*WT_FoB -1*DKO_FoB,PValue_1*WT_FoB -1*DKO_FoB,FDR_1*WT_FoB -1*DKO_FoB,logFC_1*WT_FoB -1*DKO_ABC,logCPM_1*WT_FoB -1*DKO_ABC,LR_1*WT_FoB -1*DKO_ABC,PValue_1*WT_FoB -1*DKO_ABC,FDR_1*WT_FoB -1*DKO_ABC,logFC_1*DKO_FoB -1*DKO_ABC,logCPM_1*DKO_FoB -1*DKO_ABC,LR_1*DKO_FoB -1*DKO_ABC,PValue_1*DKO_FoB -1*DKO_ABC,FDR_1*DKO_FoB -1*DKO_ABC,ENTREZID
Ralgapb,Ral GTPase activating protein, beta subunit (non-catalytic),12992,2,158409847,158499253,6.464,6.479,7.196,7.09,7.063,6.764,6.697,7.182,-0.646,6.895,7.724,0.005448229,0.025886366,-0.426,6.895,3.412,0.064729485,0.126611311,0.219,6.895,1.159,0.281647769,0.634690451
Tgm2,transglutaminase 2, C polypeptide,4608,2,158116401,158146436,-0.15,-1.549,3.691,2.466,2.029,4.848,3.98,4.252,-3.685,3.455,26.075,3.28369045055553e-07,1.60166504676886e-05,-5.192,3.455,45.8,1.30969112535176e-11,6.61136655417744e-10,-1.507,3.455,8.103,0.004419208,0.039357509
Ctnnbl1,catenin, beta like 1,2705,2,157737400,157891614,6.599,6.649,5.883,6.4,6.144,5.883,6.214,6.111,0.467,6.263,3.932,0.047385019,0.121032468,0.548,6.263,5.44,0.019685943,0.048782314,0.082,6.263,0.148,0.700156858,0.892597073
Mbtps2,membrane-bound transcription factor peptidase, site 2,10105,X,157535370,157598715,3.784,3.491,4.657,4.576,4.67,4.44,4.459,4.89,-0.993,4.438,12.208,0.00047589,0.004512957,-0.97,4.438,11.675,0.000633454,0.003051137,0.022,4.438,0.008,0.926654718,0.975870324
Zranb2,zinc finger, RAN-binding domain containing 2,4301,3,157534159,157548390,5.457,5.635,6.499,6.115,6.941,6.22,6.013,6.552,-1.01,6.252,10.777,0.001027782,0.007904962,-0.73,6.252,5.746,0.016525634,0.042537592,0.279,6.252,1.104,0.293441201,0.647362649
Manbal,mannosidase, beta A, lysosomal-like,1107,2,157367593,157396763,5.361,5.287,4.105,4.565,4.416,4.561,4.611,4.484,0.95,4.736,14.752,0.000122621,0.001652236,0.773,4.736,9.756,0.001787009,0.007055266,-0.177,4.736,0.619,0.431402473
Samhd1,SAM domain and HD domain,1,9150,2,157097532,157135265,9.641,9.624,9.873,9.991,9.82,9.056,9.309,9.845,-0.264,9.673,0.912,0.339543445,0.49261072,0.191,9.673,0.489,0.484296158,0.597743282,0.455,9.673,3.423,0.064296465,0.282476407
Soga1,suppressor of glucose, autophagy associated 1,7984,2,157015798,157079254,-2.61,-4.31,0.697,-4.31,-2.535,2.205,0.35,0.903,-3.151,0.319,3.197,0.073779305,0.166097549,-5.323,0.319,7.746,0.005383998,0.017063315,-2.173,0.319,2.625,0.105167987,0.382034066
Dsn1,DSN1 homolog, MIS12 kinetochore complex component,3354,2,156995264,157007154,2.458,2.639,4.149,2.964,4.746,3.9,3.349,3.716,-1.583,3.685,9.076,0.002589419,0.015241185,-1.127,3.685,4.755,0.029216361,0.067305925,0.456,3.685,1.065,0.302090061,0.654207776
Dlgap4,discs, large homolog-associated protein 4 (Drosophila),8451,2,156613704,156764363,6.582,6.464,6.115,5.862,5.532,6.208,5.631,5.673,0.67,6.057,5.996,0.014335559,0.051179451,0.664,6.057,5.883,0.01528939,0.039942452,-0.006,6.057,0.001,0.979877437,0.994153341
Fam20b,family with sequence similarity 20, member B,8770,1,156678531,156719086,5.703,5.858,6.312,6.467,6.687,5.97,6.265,6.324,-0.715,6.232,9.255,0.002348542,0.014259004,-0.413,6.232,3.132,0.0767748,0.144806117,0.303,6.232,2.169,0.140846697,0.449527284
Tor3a,torsin family 3, member A,3892,1,156653616,156674356,7.155,6.982,6.331,6.888,6.449,6.63,7.116,6.91,0.495,6.836,3.694,0.054618417,0.134395254,0.172,6.836,0.442,0.506178775,0.616726067,-0.323,6.836,1.927,0.165109644,0.487684567
Abl2,v-abl Abelson murine leukemia viral oncogene 2 (arg, Abelson-related gene),10800,1,156558785,156649568,5.961,5.763,6.934,6.32,6.477,5.994,5.319,6.235,-0.736,6.198,5.015,0.0251272,0.076499981,-0.033,6.198,0.01,0.918780851,0.944639824,0.703,6.198,5.924,0.014940017,0.100062068
Plekhn1,pleckstrin homology domain containing, family N member 1,2210,4,156221455,156228542,3.008,2.598,3.465,0.822,1.861,3.104,-0.502,1.238,0.368,2.401,0.138,0.709812024,0.805401158,0.871,2.401,0.781,0.37687392,0.496259542,0.503,2.401,0.315,0.574595659,0.833102448
Perm1,PPARGC1 and ESRR induced regulator, muscle 1,3901,4,156215867,156221307,0.942,0.414,1.618,1.033,1.364,1.054,-0.595,0.833,-0.667,0.984,1.218,0.269699552,0.41927472,0.127,0.984,0.044,0.83384574,0.884335482,0.794,0.984,2.218,0.136440488,0.441683574
Tnfrsf18,tumor necrosis factor receptor superfamily, member 18,1524,4,156026163,156028895,4.387,4.084,2.518,3.186,2.472,2.935,3.114,2.908,1.484,3.364,18.164,2.02718220612382e-05,0.000423,1.258,3.364,13.124,0.000291556,0.001611086,-0.226,3.364,0.5,0.479700887,0.780771216
Tnfrsf4,tumor necrosis factor receptor superfamily, member 4,1365,4,156013842,156016612,1.664,1.729,1.073,-1.604,0.252,1.297,-1.895,-0.235,1.466,0.787,2.299,0.129475211,0.249206366,1.494,0.787,2.379,0.122990142,0.208196767,0.028,0.787,0.001,0.974828353,0.992777355
B3galt6,UDP-Gal:betaGal beta 1,3-galactosyltransferase, polypeptide 6,3184,4,155989465,155992649,3.106,3.29,2.635,3.548,2.534,2.555,2.869,2.152,0.22,2.91,0.247,0.619512172,0.739080238,0.65,2.91,2.166,0.141086364,0.231374432,0.431,2.91,1.159,0.281738718
Fam132a,family with sequence similarity 132, member A,1366,4,155962317,155966629,1.348,0.476,0.464,0.161,-1.262,0.763,1.161,-0.162,1.071,0.583,2.381,0.122850008,0.240326856,0.3,0.583,0.19,0.662738829,0.752721089,-0.771,0.583,1.479,0.223874771,0.570671892
Acap3,ArfGAP with coiled-coil, ankyrin repeat and PH domains 3,5367,4,155891821,155907251,4.802,4.844,5.072,4.129,4.357,5.34,4.249,4.349,0.248,4.703,0.346,0.5562744,0.686435959,0.09,4.703,0.045,0.831560911,0.882641092,-0.158,4.703,0.174,0.676538894,0.88141436
Tas1r3,taste receptor, type 1, member 3,3523,4,155859267,155863362,0.942,-0.953,0.85,0.482,0.748,1.181,0.137,0.797,-0.425,0.677,0.413,0.520471787,0.65762967,-0.485,0.677,0.538,0.463384383,0.579230479,-0.061,0.677,0.011,0.91592794
Atad3aos,ATPase family, AAA domain containing 3A, opposite strand,1549,4,155761177,155769264,0.099,0.35,0.8,-1.246,-1.977,0.326,-2.15,-1.017,0.591,-0.214,0.357,0.550446532,0.681791697,0.904,-0.214,0.83,0.362345305,0.483001286,0.313,-0.214,0.119,0.730216861
Atad3a,ATPase family, AAA domain containing 3A,3765,4,155740640,155761093,6.162,6.27,5.991,5.677,5.812,5.345,5.267,5.28,0.385,5.775,3.4,0.065200197,0.152518794,0.92,5.775,19.462,1.02612411731439e-05,9.79520627262947e-05,0.535,5.775,7.946,0.004819052,0.04210751
Procr,protein C receptor, endothelial,2031,2,155751116,155755471,-2.61,-4.31,-0.752,-2.399,-1.262,2.744,3.392,2.263,-2.457,1.581,5.548,0.018505613,0.061156342,-6.84,1.581,48.6,3.1386630576675e-12,1.76989975349445e-10,-4.383,1.581,44.192,2.97651174599258e-11,2.30929367675666e-09
Edem2,ER degradation enhancer, mannosidase alpha-like 2,3463,2,155701676,155729475,6.4,6.554,5.971,6.205,5.716,6.953,7.288,6.796,0.501,6.568,4.049,0.044191789,0.115395771,-0.549,6.568,4.65,0.031058355,0.070523664,-1.051,6.568,21.448,3.63560748154499e-06,8.92306209907858e-05
Trpc4ap,transient receptor potential cation channel, subfamily C, member 4 associated protein,8753,2,155634270,155692384,8.077,8.107,7.659,7.799,7.799,7.534,7.582,7.674,0.338,7.793,2.926,0.087146885,0.187043816,0.494,7.793,6.278,0.012224355,0.033336529,0.156,7.793,0.768,0.380692623
Slc35e2,solute carrier family 35, member E2,6574,4,155601415,155623340,1.065,1.18,2.663,2.23,1.97,2.282,2.393,2,-1.205,2.08,7.662,0.00564098,0.02658173,-1.126,2.08,6.713,0.009572626,0.027282927,0.078,2.08,0.047,0.829228885,0.938964239
Gnb1,guanine nucleotide binding protein (G protein), beta 1,4268,4,155491360,155559269,8.541,8.684,7.998,8.575,8.508,8.002,8.506,8.409,0.232,8.423,0.753,0.385379377,0.53687462,0.293,8.423,1.201,0.273179164,0.388050029,0.061,8.423,0.064,0.800951395,0.92784895
Prkcz,protein kinase C, zeta,6318,4,155260128,155361361,2.977,3.211,2.949,2.857,2.503,3.966,3.292,2.925,0.321,3.151,0.624,0.429542451,0.577142356,-0.359,3.151,0.771,0.380052226,0.499363916,-0.68,3.151,3.477,0.062240773,0.277372144
Pigu,phosphatidylinositol glycan anchor biosynthesis, class U,9326,2,155278242,155357430,5.313,5.401,5.005,5.001,5.307,4.873,5.088,5.149,0.245,5.154,1.088,0.296970303,0.449428654,0.316,5.154,1.804,0.179243164,0.279704506,0.07,5.154,0.111,0.739135822,0.905102224
Itch,itchy, E3 ubiquitin protein ligase,9709,2,155133508,155226855,6.058,6.13,7.056,7.033,6.926,6.997,6.902,7.212,-0.912,6.843,18.281,1.90566783839648e-05,0.0004057,-0.949,6.843,19.734,8.89918743399634e-06,8.61596371331639e-05,-0.037,6.843,0.04,0.842130309,0.944534003
Mr1,major histocompatibility complex, class I-related,2512,1,155127877,155146783,3.106,3.078,3.129,3.014,2.741,3.718,3.427,3.484,0.125,3.249,0.155,0.693416421,0.793537428,-0.457,3.249,2.051,0.152090509,0.245778266,-0.582,3.249,4.254,0.039155268,0.204534522
Tnfrsf14,tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator),1158,4,154922209,154928563,3.225,2.612,4.55,3.565,3.723,4.299,3.847,4.2,-1.065,3.867,6.612,0.010128278,0.040066878,-1.181,3.867,8.071,0.004496956,0.014785213,-0.116,3.867,0.107,0.743479366,0.907333896
Fam213b,family with sequence similarity 213, member B,1027,4,154895503,154899135,3.048,3.299,2.076,1.93,0.849,3.383,3.143,2.403,1.486,2.721,9.193,0.002430056,0.014585382,0.149,2.721,0.093,0.760668904,0.829012212,-1.338,2.721,8.778,0.003048637,0.029393027
Eif2s2,eukaryotic translation initiation factor 2, subunit 2 (beta),6755,2,154871409,154892935,5.623,5.756,5.839,6.294,6.592,5.684,6.329,6.211,-0.585,6.082,3.7,0.054417356,0.134009012,-0.411,6.082,1.847,0.174120609,0.273260147,0.174,6.082,0.423,0.515557565,0.803476408
Cryz,crystallin, zeta,2968,3,154596710,154623182,1.811,1.568,2.592,2.442,4.322,2.39,2.655,2.391,-1.712,2.792,7.151,0.007492879,0.032489755,-0.798,2.792,1.653,0.198575589,0.302572931,0.914,2.792,2.878,0.089783836,0.348639956
Snta1,syntrophin, acidic 1,3094,2,154376312,154408099,-4.31,-2.582,-0.367,-2.399,-3.456,1.333,0.193,-0.313,-2.211,-0.417,2.648,0.103655785,0.21234214,-4.487,-0.417,10.499,0.001194443,0.005087607,-2.276,-0.417,5.296,0.021378949,0.132373139
Wrap73,WD repeat containing, antisense to Trp73,4335,4,154142371,154167420,5.498,5.656,4.731,4.886,5.031,4.444,4.629,4.355,0.691,4.976,8.549,0.00345629,0.018792644,1.099,4.976,21.6,3.35780674713911e-06,3.68975722404259e-05,0.409,4.976,3.593,0.058024554,0.2662561
Bpifa6,BPI fold containing family A, member 6,1572,2,153974944,154000495,-4.31,-4.31,-3.174,-4.31,-4.31,0.465,0.299,-1.017,-1.849,-1.076,0.868,0.351476994,0.504604328,-7.287,-1.076,21.782,3.05411525215676e-06,3.41694759672532e-05,-5.438,-1.076,27.097,1.93490584275216e-07,6.44596874415419e-06
Dffb,DNA fragmentation factor, beta subunit,2351,4,153964448,153975126,4.802,4.957,4.872,5.044,4.84,4.739,4.864,4.677,-0.04,4.856,0.029,0.863733796,0.911933755,0.119,4.856,0.26,0.609901074,0.70930145,0.16,4.856,0.582,0.445556606,0.760465726
Bpifb4,BPI fold containing family B, member 4,3127,2,153938211,153964101,-4.31,-2.15,-1.277,-4.31,-2.923,1.628,0.299,0.759,-0.641,-0.158,0.261,0.609480298,0.7314776,-4.392,-0.158,12.614,0.000382903,0.002028577,-3.75,-0.158,14.597,0.000133111,0.002102131
Acadm,acyl-Coenzyme A dehydrogenase, medium chain,2932,3,153922356,153944632,5.828,6.001,5.545,5.705,5.595,5.686,5.94,5.74,0.301,5.764,2.022,0.155007134,0.283212022,0.124,5.764,0.341,0.559038592,0.664522994,-0.177,5.764,0.865,0.352391342,0.696452287
Rabggtb,Rab geranylgeranyl transferase, b subunit,1509,3,153907288,153912966,5.188,5.329,5.181,4.637,5.115,4.958,4.853,4.924,0.264,5.04,1.079,0.298989578,0.451375126,0.349,5.04,1.886,0.16964432,0.267944847,0.085,5.04,0.138,0.710727062,0.895661059
Spin2c,spindlin family, member 2C,1377,X,153832224,153834243,0.438,0.847,-0.906,-0.422,-0.597,-3.136,-3.409,-2.133,1.336,-0.454,5.335,0.020904555,0.066986166,3.885,-0.454,30.195,3.90773457800617e-08,7.93908817605471e-07,2.549,-0.454,13.147,0.000287978,0.004074698
Rnasel,ribonuclease L (2', 5'-oligoisoadenylate synthetase-dependent),6641,1,153749425,153764221,3.836,3.756,4.572,3.669,3.366,5.387,4.923,4.892,-0.164,4.466,0.172,0.678184275,0.783589228,-1.291,4.466,9.947,0.001610776,0.006478972,-1.127,4.466,10.111,0.001473697,0.016445261
Mapre1,microtubule-associated protein, RP/EB family, member 1,7811,2,153741273,153773310,7.488,7.487,7.541,7.933,7.981,7.656,8.144,8.038,-0.344,7.806,1.883,0.169940567,0.302372318,-0.473,7.806,3.548,0.059625561,0.118451879,-0.13,7.806,0.342,0.558427755
Lamc1,laminin, gamma 1,8272,1,153218921,153332786,5.165,5.007,5.859,6.046,5.664,5.662,5.819,5.946,-0.777,5.687,11.006,0.00090819,0.007290747,-0.727,5.687,9.66,0.001882873,0.007360519,0.05,5.687,0.061,0.80566937,0.929958854
Mageh1,melanoma antigen, family H,1,1410,X,153036165,153037575,-0.062,0.35,0.332,0.161,1.169,2.081,2.227,1.265,-0.492,1.219,0.705,0.401195905,0.550679727,-1.797,1.219,9.113,0.002537943,0.009331622,-1.305,1.219,6.894,0.008649431
Pigk,phosphatidylinositol glycan anchor biosynthesis, class K,9367,3,152714099,152980408,5.847,5.738,5.63,5.839,5.466,5.694,6.09,6.017,0.141,5.804,0.363,0.546989635,0.678964907,-0.151,5.804,0.413,0.520287011,0.629199482,-0.292,5.804,1.942,0.163463557,0.484398542
Smg7,Smg-7 homolog, nonsense mediated mRNA decay factor (C. elegans),6341,1,152836994,152902646,6.772,6.686,7.231,6.956,7.202,6.79,6.421,7.154,-0.405,6.927,2.361,0.124418815,0.242543256,-0.089,6.927,0.117,0.732632674,0.806747352,0.316,6.927,1.831,0.176046573,0.505475622
Tpx2,TPX2, microtubule-associated protein homolog (Xenopus laevis),4677,2,152847963,152895321,3.268,3.088,5.697,3.391,7.054,5.609,5.355,5.78,-2.85,5.487,11.139,0.000845142,0.006914825,-2.417,5.487,8.38,0.003793829,0.012893666,0.433,5.487,0.409,0.522410096,0.807546249
Arpc5,actin related protein 2/3 complex, subunit 5,2276,1,152766541,152775597,9.163,9.2,8.545,9.196,8.497,8.447,9.122,8.789,0.399,8.904,1.723,0.189302326,0.326568407,0.369,8.904,1.474,0.224683173,0.334062698,-0.03,8.904,0.012,0.913493357,0.971122237
Rgl1,ral guanine nucleotide dissociation stimulator,-like 1,5586,1,152516759,152766351,5.243,5.135,5.249,5.468,4.654,5.137,4.467,5.101,0.028,5.09,0.007,0.933132009,0.958078517,0.258,5.09,0.623,0.430042616,0.547680141,0.231,5.09,0.615,0.432900419,0.754550247
Zzz3,zinc finger, ZZ domain containing 3,8401,3,152395472,152462826,5.955,5.934,6.483,6.14,6.432,6.074,5.884,6.238,-0.415,6.159,3.325,0.068226257,0.157487126,-0.128,6.159,0.321,0.571196226,0.675128325,0.287,6.159,2.035,0.153691032,0.471264809
Zcchc3,zinc finger, CCHC domain containing 3,3073,2,152411954,152415027,1.213,1.984,2.663,2.353,1.032,2.971,2.541,2.195,-0.521,2.259,0.797,0.371961516,0.524502943,-0.962,2.259,2.669,0.10233034,0.180243597,-0.442,2.259,0.755,0.385018122,0.723151549
Kcnab2,potassium voltage-gated channel, shaker-related subfamily, beta member 2,5578,4,152390741,152477871,7.395,7.391,6.823,7.203,6.717,7.344,7.503,7.367,0.463,7.242,4.221,0.039915587,0.106981509,-0.014,7.242,0.004,0.952146339,0.96731007,-0.477,7.242,5.478,0.019262515
Fam73a,family with sequence similarity 73, member A,5355,3,152273458,152340407,4.131,4.308,5.245,4.838,5.686,5.32,5.234,5.478,-1.078,5.119,12.346,0.000441958,0.004289254,-1.128,5.119,13.46,0.000243754,0.00139633,-0.05,5.119,0.036,0.850255225,0.946715013
Tbc1d20,TBC1 domain family, member 20,4171,2,152293827,152313996,7.449,7.527,7.099,7.353,6.756,6.96,7.037,7.039,0.399,7.174,2.936,0.086635491,0.186257444,0.476,7.174,4.19,0.040661617,0.087177167,0.077,7.174,0.135,0.713090965,0.896306574
Csnk2a1,casein kinase 2, alpha 1 polypeptide,7089,2,152226838,152281852,6.614,6.759,6.501,6.313,6.487,6.274,6.222,6.458,0.252,6.464,1.487,0.22264056,0.36594979,0.367,6.464,3.155,0.075704474,0.143050215,0.115,6.464,0.379,0.537939333,0.81508943
Plekhg5,pleckstrin homology domain containing, family G (with RhoGef domain) member 5,4945,4,152072497,152115400,1.282,1.103,1.531,0.036,0.252,2.205,0.193,1.265,0.45,1.172,0.389,0.532840727,0.666411209,-0.243,1.172,0.113,0.737314856,0.810821892,-0.693,1.172,1.136,0.286433557,0.640493962
Slc52a3,solute carrier protein family 52, member 3,2767,2,151996510,152009258,1.38,1.941,0.85,2.201,0.816,1.657,1.51,1.183,0.244,1.539,0.182,0.669685083,0.776952986,0.23,1.539,0.16,0.688705066,0.773705594,-0.015,1.539,0.001,0.977361737,0.993956337
Thap3,THAP domain containing, apoptosis associated protein 3,1334,4,151982638,151988997,5.359,5.401,4.675,4.758,3.784,4.691,4.674,3.912,0.915,4.757,6.086,0.01362933,0.049461865,0.914,4.757,6.069,0.0137579,0.036637026,-0.001,4.757,0,0.997266148,0.998991591
Fam110a,family with sequence similarity 110, member A,2207,2,151969397,151980219,3.876,3.706,3.036,3.736,3.427,2.887,3.704,2.497,0.365,3.435,0.724,0.39474991,0.54480766,0.675,3.435,2.48,0.115326449,0.197624333,0.31,3.435,0.636,0.42515827,0.750355665
Huwe1,HECT, UBA and WWE domain containing 1,23507,X,151800806,151935417,8.027,7.719,9.542,7.859,9.135,9.155,7.362,9.215,-1.122,8.706,3.323,0.068334055,0.157704467,-0.91,8.706,2.22,0.136264777,0.225192397,0.213,8.706,0.16,0.688858623,0.887795532
Edem3,ER degradation enhancer, mannosidase alpha-like 3,6381,1,151755370,151822051,4.573,4.51,6.136,5.863,5.973,6.319,6.241,6.458,-1.455,5.912,41.913,9.54273720065253e-11,1.64647823939617e-08,-1.802,5.912,62.653,2.46581158595393e-15,2.41565948590063e-13,-0.348,5.912,3.395,0.065411056,0.285879701
Psmf1,proteasome (prosome, macropain) inhibitor subunit 1,6441,2,151715811,151744186,5.844,6.068,5.265,5.81,5.819,5.365,5.61,5.533,0.306,5.688,1.484,0.223190925,0.366645885,0.454,5.688,3.279,0.070153034,0.134959074,0.148,5.688,0.429,0.51237954,0.802032945
Fam129a,family with sequence similarity 129, member A,7380,1,151571185,151721939,0.661,-0.307,3.82,1.617,2.015,5.731,5.317,5.103,-2.606,4.241,12.82,0.000342909,0.003558377,-5.202,4.241,40.128,2.37830774996521e-10,9.07367577214449e-09,-2.597,4.241,18.713,1.51913806694709e-05,0.000313035
Fam120c,family with sequence similarity 120, member C,5823,X,151344174,151471842,1.248,0.938,3.808,3.653,3.664,3.136,3.266,3.45,-2.632,3.198,51.769,6.24399032812857e-13,2.18728873312625e-10,-2.213,3.198,37.295,1.01561586645381e-09,3.32592618022835e-08,0.419,3.198,2.249,0.133713729,0.43652378
Park7,Parkinson disease (autosomal recessive, early onset) 7,2479,4,150897132,150914437,7.781,7.853,6.529,7.217,7.133,6.29,6.989,6.573,0.827,7.147,7.952,0.00480344,0.023780626,1.171,7.147,15.984,6.38660054181871e-05,0.000460856,0.345,7.147,1.676,0.195445504,0.534125302
Maged2,melanoma antigen, family D,2,3239,X,150806369,150814345,0.438,0.058,0.186,0.276,0.347,2.014,1.735,1.918,-0.014,1.136,0.001,0.976877407,0.987383302,-1.667,1.136,13.192,0.000281117,0.001566128,-1.653,1.136,17.814,2.43559280462201e-05
Pfkfb1,6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1,4017,X,150588228,150643878,1.282,1.023,1.531,0.382,1.672,1.921,0.915,1.095,-0.142,1.321,0.06,0.806726833,0.873444056,-0.217,1.321,0.14,0.708471804,0.788707054,-0.075,1.321,0.022,0.883173162,0.959329528
Brca2,breast cancer 2, early onset,10724,5,150522629,150569746,3.225,3.027,4.539,2.669,4.695,3.906,2.936,4.204,-1.084,3.839,3.064,0.08005894,0.176149824,-0.648,3.839,1.128,0.288247897,0.404394237,0.436,3.839,0.665,0.414801058,0.743670833
Tpr,translocated promoter region, nuclear basket protein,10496,1,150392837,150449935,7.723,7.537,8.447,7.713,8.269,8.069,7.536,8.471,-0.543,8.018,2.585,0.107891389,0.218504636,-0.443,8.018,1.73,0.188349099,0.290890526,0.1,8.018,0.113,0.736504021,0.90422477
Eno1,enolase 1, alpha non-neuron,5379,4,150236720,150248879,8.507,8.731,7.377,8.115,8.165,7.389,7.954,7.758,0.695,8.071,5.33,0.020964429,0.067132631,0.904,8.071,9.045,0.002634005,0.009623609,0.209,8.071,0.589,0.442925723,0.75917393
Pla2g4a,phospholipase A2, group IVA (cytosolic, calcium-dependent),6391,1,149829617,149961290,-0.696,-1.818,1.646,0.099,-0.352,2.282,2.025,2.138,-1.973,1.292,6.265,0.012314828,0.046011447,-3.433,1.292,17.64,2.66863780871648e-05,0.000219882,-1.46,1.292,5.591,0.018051008
Slc25a33,solute carrier family 25, member 33,1887,4,149744035,149774277,3.359,3.542,3.088,3.519,3.718,3.093,3.699,3.334,-0.015,3.445,0.002,0.966344836,0.980337543,0.054,3.445,0.024,0.877631118,0.915105203,0.069,3.445,0.048,0.825930489,0.937985702
Apitd1,apoptosis-inducing, TAF9-like domain 1,1909,4,149127120,149137629,4.398,3.991,3.789,3.8,5.449,3.093,3.016,3.194,-0.367,4.074,0.488,0.484620717,0.62591217,1.11,4.074,4.636,0.031313651,0.070977608,1.477,4.074,9.627,0.001917189,0.020295513
Dffa,DNA fragmentation factor, alpha subunit,3540,4,149104145,149120647,5.869,5.855,5.819,6.102,5.822,5.782,5.888,5.737,-0.059,5.864,0.077,0.781975996,0.856237305,0.058,5.864,0.076,0.782692332,0.845442287,0.117,5.864,0.383,0.536124005,0.814015501
Fam60a,family with sequence similarity 60, member A,3851,6,148921034,148946467,3.429,3.686,3.972,4.254,4.304,3.533,4.099,3.86,-0.624,3.93,4.024,0.044866368,0.1165992,-0.289,3.93,0.877,0.349150018,0.469444076,0.335,3.93,1.514,0.218595517,0.563915112
Slc7a1,solute carrier family 7 (cationic amino acid transporter, y+ system), member 1,7527,5,148327409,148399904,5.624,5.508,6.935,6.984,7.311,6.658,6.789,7.128,-1.52,6.739,35.496,2.55566421385533e-09,2.73550725112663e-07,-1.306,6.739,26.648,2.44054140776578e-07,3.96157961987265e-06,0.214,6.739,0.991,0.319590351
Agtrap,angiotensin II, type I receptor-associated protein,4236,4,148077060,148088031,4.481,4.484,4.231,4.349,4.345,4.895,4.919,4.785,0.173,4.586,0.537,0.463641342,0.607743952,-0.385,4.586,2.63,0.104893245,0.183861397,-0.558,4.586,7.015,0.008081612,0.062826785
Mthfr,5,10-methylenetetrahydrofolate reductase,7315,4,148039076,148059551,3.962,3.847,4.842,4.447,4.147,5.004,4.239,4.481,-0.601,4.425,3.041,0.081200019,0.178014833,-0.705,4.425,4.158,0.041435367,0.088473004,-0.104,4.425,0.119,0.730236289,0.902507122
Clcn6,chloride channel, voltage-sensitive 6,5933,4,148004258,148038821,5.054,5.015,5.279,4.697,4.644,4.916,3.902,4.501,0.133,4.804,0.141,0.707754739,0.804146307,0.54,4.804,2.343,0.125865857,0.211946002,0.407,4.804,1.629,0.201904886,0.543300857
Plod1,procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1,6765,4,147909752,147936767,2.545,2.598,3.158,3.404,1.812,3.966,4.164,3.697,-0.369,3.355,0.577,0.447501954,0.592975996,-1.39,3.355,7.741,0.005397291,0.017093884,-1.021,3.355,5.68,0.017160485,0.11188675
Slc46a3,solute carrier family 46, member 3,2458,5,147878436,147894815,4.879,4.751,4.38,4.868,4.357,4.712,4.885,4.764,0.261,4.716,0.964,0.326098521,0.479374715,0.027,4.716,0.01,0.919311489,0.944887847,-0.234,4.716,0.961,0.326901396,0.676267025
Ppfibp1,PTPRF interacting protein, binding protein 1 (liprin beta 1),9790,6,146888486,147032025,2.473,2.145,4.115,3.435,4.557,3.718,3.619,4.125,-1.798,3.716,17.546,2.80484614746252e-05,0.000545657,-1.528,3.716,12.92,0.000325033,0.001762374,0.27,3.716,0.58,0.446357879,0.760994269
